discovery_source,capacity_bin,opened_group,breadth_rank_block,genus_size_class,denominator,classifiable,n_blue_purple,n_red_pink,n_white,n_yellow_orange
v1_only,5_9,not_previously_opened,40001_42111,non_singleton_genus_label,59,25,1,2,13,9
v1_only,5_9,not_previously_opened,40001_42111,singleton_genus_label,4,1,1,0,0,0
v1_only,5_9,not_previously_opened,5001_10000,non_singleton_genus_label,146,68,2,12,27,27
v1_only,5_9,not_previously_opened,5001_10000,singleton_genus_label,12,3,1,0,1,1
v2_only,1,not_previously_opened,10001_15000,non_singleton_genus_label,395,154,16,20,61,57
v2_only,1,not_previously_opened,10001_15000,singleton_genus_label,48,19,0,2,12,5
v2_only,1,not_previously_opened,15001_20000,non_singleton_genus_label,419,173,14,19,83,57
v2_only,1,not_previously_opened,15001_20000,singleton_genus_label,45,18,1,1,3,13
v2_only,1,not_previously_opened,1_5000,non_singleton_genus_label,384,177,14,25,86,52
v2_only,1,not_previously_opened,1_5000,singleton_genus_label,48,16,0,1,10,5
v2_only,1,not_previously_opened,20001_25000,non_singleton_genus_label,401,152,14,18,72,48
v2_only,1,not_previously_opened,20001_25000,singleton_genus_label,34,8,0,0,4,4
v2_only,1,not_previously_opened,25001_30000,non_singleton_genus_label,434,182,10,14,96,62
v2_only,1,not_previously_opened,25001_30000,singleton_genus_label,37,19,1,1,11,6
v2_only,1,not_previously_opened,30001_35000,non_singleton_genus_label,428,175,12,18,74,71
v2_only,1,not_previously_opened,30001_35000,singleton_genus_label,45,18,1,2,9,6
v2_only,1,not_previously_opened,35001_40000,non_singleton_genus_label,377,160,14,17,64,65
v2_only,1,not_previously_opened,35001_40000,singleton_genus_label,32,11,1,1,5,4
v2_only,1,not_previously_opened,40001_42111,non_singleton_genus_label,174,74,7,6,39,22
v2_only,1,not_previously_opened,40001_42111,singleton_genus_label,16,5,0,0,3,2
v2_only,1,not_previously_opened,5001_10000,non_singleton_genus_label,406,160,14,21,67,58
v2_only,1,not_previously_opened,5001_10000,singleton_genus_label,29,7,0,1,5,1
v2_only,10_19,not_previously_opened,10001_15000,non_singleton_genus_label,137,60,5,6,29,20
v2_only,10_19,not_previously_opened,10001_15000,singleton_genus_label,7,3,0,1,1,1
v2_only,10_19,not_previously_opened,15001_20000,non_singleton_genus_label,119,53,5,4,25,19
v2_only,10_19,not_previously_opened,15001_20000,singleton_genus_label,11,6,0,1,4,1
v2_only,10_19,not_previously_opened,1_5000,non_singleton_genus_label,136,68,7,5,28,28
v2_only,10_19,not_previously_opened,1_5000,singleton_genus_label,8,3,0,0,2,1
v2_only,10_19,not_previously_opened,20001_25000,non_singleton_genus_label,121,45,2,4,23,16
v2_only,10_19,not_previously_opened,20001_25000,singleton_genus_label,4,2,0,1,1,0
v2_only,10_19,not_previously_opened,25001_30000,non_singleton_genus_label,119,47,2,4,22,19
v2_only,10_19,not_previously_opened,25001_30000,singleton_genus_label,13,6,0,0,4,2
v2_only,10_19,not_previously_opened,30001_35000,non_singleton_genus_label,111,51,4,7,19,21
v2_only,10_19,not_previously_opened,30001_35000,singleton_genus_label,10,5,0,0,4,1
v2_only,10_19,not_previously_opened,35001_40000,non_singleton_genus_label,152,72,3,6,34,29
v2_only,10_19,not_previously_opened,35001_40000,singleton_genus_label,5,4,0,0,3,1
v2_only,10_19,not_previously_opened,40001_42111,non_singleton_genus_label,50,18,2,1,5,10
v2_only,10_19,not_previously_opened,40001_42111,singleton_genus_label,4,2,1,0,0,1
v2_only,10_19,not_previously_opened,5001_10000,non_singleton_genus_label,144,57,9,9,26,13
v2_only,10_19,not_previously_opened,5001_10000,singleton_genus_label,11,6,2,0,0,4
v2_only,20_plus,not_previously_opened,10001_15000,non_singleton_genus_label,159,62,4,3,34,21
v2_only,20_plus,not_previously_opened,10001_15000,singleton_genus_label,10,6,0,0,4,2
v2_only,20_plus,not_previously_opened,15001_20000,non_singleton_genus_label,167,83,11,7,38,27
v2_only,20_plus,not_previously_opened,15001_20000,singleton_genus_label,11,3,0,0,1,2
v2_only,20_plus,not_previously_opened,1_5000,non_singleton_genus_label,140,81,5,7,41,28
v2_only,20_plus,not_previously_opened,1_5000,singleton_genus_label,3,2,0,1,0,1
v2_only,20_plus,not_previously_opened,20001_25000,non_singleton_genus_label,162,74,7,6,33,28
v2_only,20_plus,not_previously_opened,20001_25000,singleton_genus_label,9,4,0,0,3,1
v2_only,20_plus,not_previously_opened,25001_30000,non_singleton_genus_label,155,74,4,5,37,28
v2_only,20_plus,not_previously_opened,25001_30000,singleton_genus_label,11,7,0,0,4,3
v2_only,20_plus,not_previously_opened,30001_35000,non_singleton_genus_label,169,78,4,7,42,25
v2_only,20_plus,not_previously_opened,30001_35000,singleton_genus_label,10,6,1,0,2,3
v2_only,20_plus,not_previously_opened,35001_40000,non_singleton_genus_label,167,92,8,10,39,35
v2_only,20_plus,not_previously_opened,35001_40000,singleton_genus_label,9,1,0,0,1,0
v2_only,20_plus,not_previously_opened,40001_42111,non_singleton_genus_label,64,34,4,4,15,11
v2_only,20_plus,not_previously_opened,5001_10000,non_singleton_genus_label,154,69,5,6,31,27
v2_only,20_plus,not_previously_opened,5001_10000,singleton_genus_label,20,5,0,0,5,0
v2_only,20_plus,previously_opened_1000,10001_15000,singleton_genus_label,1,0,0,0,0,0
v2_only,20_plus,previously_opened_1000,15001_20000,non_singleton_genus_label,3,1,0,0,1,0
v2_only,20_plus,previously_opened_1000,1_5000,non_singleton_genus_label,4,1,1,0,0,0
v2_only,20_plus,previously_opened_1000,20001_25000,non_singleton_genus_label,7,3,0,0,2,1
v2_only,20_plus,previously_opened_1000,25001_30000,non_singleton_genus_label,5,2,0,0,1,1
v2_only,20_plus,previously_opened_1000,25001_30000,singleton_genus_label,1,0,0,0,0,0
v2_only,20_plus,previously_opened_1000,30001_35000,non_singleton_genus_label,4,0,0,0,0,0
v2_only,20_plus,previously_opened_1000,35001_40000,non_singleton_genus_label,6,2,0,2,0,0
v2_only,20_plus,previously_opened_1000,40001_42111,non_singleton_genus_label,3,1,0,1,0,0
v2_only,20_plus,previously_opened_1000,40001_42111,singleton_genus_label,1,1,0,0,1,0
v2_only,20_plus,previously_opened_1000,5001_10000,non_singleton_genus_label,5,1,0,0,1,0
v2_only,20_plus,previously_opened_1000,5001_10000,singleton_genus_label,1,0,0,0,0,0
v2_only,2_4,not_previously_opened,10001_15000,non_singleton_genus_label,389,154,12,18,62,62
v2_only,2_4,not_previously_opened,10001_15000,singleton_genus_label,36,16,0,0,7,9
v2_only,2_4,not_previously_opened,15001_20000,non_singleton_genus_label,396,167,17,18,76,56
v2_only,2_4,not_previously_opened,15001_20000,singleton_genus_label,30,15,0,2,8,5
v2_only,2_4,not_previously_opened,1_5000,non_singleton_genus_label,396,172,8,15,78,71
v2_only,2_4,not_previously_opened,1_5000,singleton_genus_label,37,15,4,1,3,7
v2_only,2_4,not_previously_opened,20001_25000,non_singleton_genus_label,380,167,11,13,77,66
