species,D,D_min4,D_max4,D_interval_width,ambiguous_palette_rate,technical_failure_rate
Palafoxia arida,0.1219281663516067,0.1195110909913987,0.1584427342689,0.0389316432775012,0.01,0.53
Palafoxia texana,0.3461457676958621,0.3121294664316616,0.4915878865566416,0.17945842012498,0.1,0.21
Palustricodon aparinoides,0.0624349635796044,0.0624349635796044,0.0624349635796044,0.0,0.0,0.38
Papaver somniferum,0.6144000000000001,0.606508875739645,0.6420118343195266,0.0355029585798816,0.02,0.48
Patersonia sericea,0.2844444444444445,0.2844444444444445,0.2844444444444445,0.0,0.0,0.25
Pavonia hastata,0.258512396694215,0.2544642857142858,0.284438775510204,0.0299744897959182,0.01,0.44
Pedicularis sylvatica,0.510410469958358,0.4696180555555556,0.6258680555555556,0.15625,0.07,0.52
Penstemon davidsonii,0.2176,0.1902497027348394,0.4048751486325803,0.2146254458977409,0.08,0.42
Perideridia kelloggii,0.0475907198096372,0.0454299621416982,0.133044889129259,0.0876149269875607,0.04,0.14
Persicaria capitata,0.3326124567474048,0.295785931741708,0.4941515782727127,0.1983656465310047,0.11,0.21
Phacelia hastata,0.22625,0.2120064899945917,0.3255813953488372,0.1135749053542455,0.03,0.57
Philotheca spicata,0.5122865472719701,0.4057093425605536,0.6851211072664359,0.2794117647058823,0.19,0.32
Phyllota phylicoides,0.0392000000000001,0.0377218934911243,0.1109467455621301,0.0732248520710058,0.02,0.48
Physocarpus malvaceus,0.0831758034026464,0.0820408163265304,0.1089795918367346,0.0269387755102041,0.01,0.3
Pigea calycina,0.4621487603305785,0.4076631766540431,0.6161728670082423,0.208509690354199,0.12,0.33
Pimelea prostrata,0.0333237575409364,0.0312421264802218,0.1501637692113884,0.1189216427311665,0.04,0.37
Pittocaulon praecox,0.1207075962539023,0.1189216427311665,0.1481481481481482,0.0292265054169816,0.01,0.37
Platysace lanceolata,0.0,0.0,0.1014542936288088,0.1014542936288088,0.04,0.24
Plumbago zeylanica,0.0665873959571936,0.0665873959571936,0.0665873959571936,0.0,0.0,0.42
Polygala virgata,0.6287499999999999,0.5704,0.7232000000000001,0.1528,0.1,0.5
Pontederia azurea,0.3705621301775147,0.3550413223140495,0.4337190082644627,0.0786776859504132,0.03,0.45
Portulaca amilis,0.0785244704163623,0.0765235457063712,0.1256925207756232,0.049168975069252,0.02,0.24
Portulaca pilosa,0.059228650137741,0.056710775047259,0.1377861793740811,0.081075404326822,0.03,0.31
Portulaca umbraticola,0.6039150354019158,0.5894970414201184,0.6427514792899409,0.0532544378698225,0.03,0.48
Primula pauciflora,0.5293005671077504,0.431640625,0.70166015625,0.27001953125,0.18,0.36
Primula vulgaris,0.3348765432098766,0.3199445983379502,0.3978531855955678,0.0779085872576176,0.04,0.24
Prunus ilicifolia,0.2543402777777778,0.2225765306122448,0.4394132653061227,0.2168367346938778,0.08,0.44
Pseudognaphalium californicum,0.1362456747404843,0.1309264034913708,0.2067050188454671,0.0757786153540962,0.03,0.29
Pseudorchis albida,0.5207939508506616,0.4949215143120961,0.6660510926438905,0.1711295783317944,0.11,0.43
Ptilotus exaltatus,0.0807291666666665,0.0649999999999999,0.3938888888888888,0.3288888888888889,0.12,0.4
Pulmonaria mollis,0.065,0.0619803476946334,0.1501637692113883,0.0881834215167548,0.03,0.37
Pulsatilla pratensis,0.4973230220107079,0.4612476370510397,0.5888468809073724,0.1275992438563326,0.05,0.54
Pultenaea spinosa,0.0,0.0,0.0733357066571734,0.0733357066571734,0.02,0.47
Quincula lobata,0.1542503283918184,0.1449704142011832,0.2554240631163709,0.1104536489151876,0.05,0.22
Rafinesquia californica,0.0,0.0,0.0363511659807955,0.0363511659807955,0.01,0.46
Rafinesquia neomexicana,0.0920915712799166,0.090702947845805,0.1204333585285966,0.0297304106827915,0.01,0.37
Ranunculus auricomus,0.0,0.0,0.0,0.0,0.0,0.27
Ranunculus glaberrimus,0.0273919753086417,0.0273919753086417,0.0273919753086417,0.0,0.0,0.28
Ranunculus glacialis,0.3305858765872131,0.307750046913117,0.4293488459373241,0.1215987990242071,0.06,0.27
Ranunculus polyanthemos,0.051911111111111,0.051911111111111,0.051911111111111,0.0,0.0,0.25
