species,D,second_fraction,spatial_rho,primary_second_ge_0_10,sensitivity_second_ge_0_20,tranche
Eupatorium altissimum,0.1943801652892562,0.109090909090909,0.071204409289202,True,False,discovery
Euphorbia cyparissias,0.0,0.0,-0.0079261445312812,False,False,discovery
Eurybia divaricata,0.086776859504132,0.0454545454545454,0.1112547415094012,False,False,discovery
Eutrochium fistulosum,0.2933454051607062,0.1276595744680851,0.1605967876088387,True,False,discovery
Eutrochium maculatum,0.2978723404255319,0.1063829787234042,-0.0093202484098883,True,False,discovery
Eysenhardtia texana,0.0831758034026464,0.0434782608695652,-0.0454681611943406,False,False,discovery
Falcaria vulgaris,0.0285654274312119,0.0144927536231884,0.0929859394925835,False,False,discovery
Fritillaria pyrenaica,0.6889995473064736,0.3617021276595745,0.1345691627001458,True,True,discovery
Galinsoga parviflora,0.35888671875,0.234375,0.0344807306979648,True,True,discovery
Gazania rigens,0.0277722674072604,0.0140845070422535,0.0222827568521331,False,False,discovery
Gentiana acaulis,0.2051180321364807,0.0845070422535211,-0.0155349084726039,False,False,discovery
Gentiana parryi,0.1649382716049382,0.0666666666666666,0.0528173979852356,False,False,discovery
Geranium macrorrhizum,0.5244444444444445,0.2888888888888888,0.0455896369405106,True,True,discovery
Geranium molle,0.6427514792899409,0.2692307692307692,0.0164008520537438,True,True,discovery
Geranium richardsonii,0.0695153061224488,0.0178571428571428,0.0686227988116714,False,False,discovery
Geranium yeoi,0.5840262030738221,0.4444444444444444,0.2009128101090579,True,True,discovery
Geum canadense,0.0384467512495194,0.0196078431372549,-0.0525975825234279,False,False,discovery
Geum macrophyllum,0.0855424370683894,0.044776119402985,-0.0516212109589317,False,False,discovery
Geum urbanum,0.1155029585798816,0.0615384615384615,0.0392933635487131,False,False,discovery
Gompholobium huegelii,0.3673094582185492,0.2424242424242424,0.1607089443360443,True,True,discovery
Goodenia ovata,0.0525931336742147,0.027027027027027,0.0077298241721977,False,False,discovery
Grevillea alpina,0.5770975056689343,0.4047619047619047,0.0201253024316169,True,True,discovery
Grevillea lavandulacea,0.1247637051039697,0.0217391304347826,-0.136659665059295,False,False,discovery
Guzmania monostachia,0.4404938271604938,0.2222222222222222,0.1033684630560048,True,True,discovery
Hedypnois rhagadioloides,0.0322493953238376,0.0163934426229508,-0.0021231907415409,False,False,discovery
Helenium autumnale,0.0,0.0,-0.0131655921941208,False,False,discovery
Helianthus divaricatus,0.0677131425053862,0.0350877192982456,-0.0314799186814985,False,False,discovery
Hepatica acutiloba,0.0333237575409364,0.0169491525423728,-0.097903266950566,False,False,discovery
Hibbertia cuneiformis,0.1222684703433923,0.0483870967741935,-0.0220144070995887,False,False,discovery
Hibiscus denudatus,0.3565088757396449,0.1346153846153846,0.2844284808442466,True,False,discovery
Hofmeisteria fasciculata,0.1670918367346938,0.0535714285714285,-0.0406460045548459,False,False,discovery
Homogyne alpina,0.3656,0.14,0.1479444110433733,True,False,discovery
Hyacinthoides non-scripta,0.1504971781779092,0.081967213114754,-0.0351369260146223,False,False,discovery
Hypocalymma robustum,0.2670891806247171,0.0638297872340425,0.0050059571884198,False,False,discovery
Iliamna rivularis,0.2122781065088758,0.0576923076923076,-0.0065454861758725,False,False,discovery
Ipomoea cairica,0.5720486111111112,0.2083333333333333,-0.0203405021337648,True,True,discovery
Ipomoea pes-caprae,0.5512152777777778,0.1875,0.0153781863800772,True,False,discovery
Jacobaea adonidifolia,0.0263111111111109,0.0133333333333333,-0.09661370519616,False,False,discovery
Jaumea carnosa,0.051911111111111,0.0266666666666666,0.0524238412762079,False,False,discovery
Johnstonella angustifolia,0.0,0.0,-0.0060987959919572,False,False,discovery
Lachenalia reflexa,0.0713305898491085,0.037037037037037,0.1022360550649051,False,False,discovery
Lamprocapnos spectabilis,0.1550000000000001,0.0666666666666666,-0.1186917628962562,False,False,discovery
Lantana involucrata,0.1945153061224489,0.0892857142857142,0.0018534462060538,False,False,discovery
Lathyrus japonicus,0.5015844273426889,0.2978723404255319,0.074845484534774,True,True,discovery
Lathyrus palustris,0.62819750148721,0.2926829268292683,0.0224319771807962,True,True,discovery
Lathyrus pratensis,0.0817298155127951,0.028169014084507,-0.0149435513534146,False,False,discovery
Lepidium campestre,0.2076124567474049,0.1176470588235294,0.0272201651893142,True,False,discovery
Lepidium fremontii,0.0798611111111109,0.0416666666666666,0.0044866071692439,False,False,discovery
