condition_id,panel,species,n_classifiable,D
fixed_ev_m0_5,N,Prospero autumnale,50,0.544
fixed_ev_m0_5,N,Rhododendron lapponicum,59,0.5205400746911807
fixed_ev_m0_5,N,Rhus copallinum,40,0.46875
fixed_ev_m0_5,N,Ribes rubrum,46,0.5189035916824196
fixed_ev_m0_5,N,Ricinocarpos pinifolius,75,0.05191111111111102
fixed_ev_m0_5,N,Rosa californica,45,0.6123456790123456
fixed_ev_m0_5,N,Rudbeckia fulgida,55,0.03570247933884296
fixed_ev_m0_5,N,Salvia carduacea,59,0.24303361103131282
fixed_ev_m0_5,N,Sambucus ebulus,65,0.11692307692307691
fixed_ev_m0_5,N,Saxifraga tricuspidata,66,0.23553719008264462
fixed_ev_m0_5,N,Scaevola ramosissima,63,0.09171075837742515
fixed_ev_m0_5,N,Senecio hispidulus,43,0.4142779881016767
fixed_ev_m0_5,N,Senecio pterophorus,75,0.0
fixed_ev_m0_5,N,Senna armata,62,0.06243496357960443
fixed_ev_m0_5,N,Senna septemtrionalis,61,0.03224939532383764
fixed_ev_m0_5,N,Silene colorata,56,0.5382653061224489
fixed_ev_m0_5,N,Silene nutans,54,0.257201646090535
fixed_ev_m0_5,N,Solanum carolinense,57,0.22283779624499866
fixed_ev_m0_5,N,Spergularia marina,51,0.18300653594771243
fixed_ev_m0_5,N,Stachys chamissonis,49,0.4989587671803416
fixed_ev_m0_5,N,Symphoricarpos albus,42,0.4841269841269841
fixed_ev_m0_5,N,Symphoricarpos occidentalis,50,0.11440000000000006
fixed_ev_m0_5,N,Taenidia integerrima,60,0.2827777777777777
fixed_ev_m0_5,N,Tanacetum corymbosum,73,0.12760367798836558
fixed_ev_m0_5,N,Tephroseris palustris,69,0.02856542743121193
fixed_ev_m0_5,N,Tetratheca ciliata,57,0.45552477685441684
fixed_ev_m0_5,N,Thalictrum dasycarpum,64,0.09033203125
fixed_ev_m0_5,N,Torenia concolor,55,0.13487603305785134
fixed_ev_m0_5,N,Tradescantia fluminensis,50,0.31999999999999984
fixed_ev_m0_5,N,Trifolium wormskioldii,46,0.6512287334593573
fixed_ev_m0_5,N,Utricularia macrorhiza,65,0.0
fixed_ev_m0_5,N,Vaccinium arboreum,41,0.04759071980963725
fixed_ev_m0_5,N,Valeriana edulis,62,0.42507804370447444
fixed_ev_m0_5,N,Viburnum rafinesqueanum,68,0.0
fixed_ev_m0_5,N,Viola arvensis,62,0.148283038501561
fixed_ev_m0_5,N,Volkameria inermis,58,0.1854934601664684
fixed_ev_m0_5,N,Wedelia hispida,81,0.0
fixed_ev_m0_5,N,Wurmbea dioica,43,0.08869659275283936
fixed_ev_m0_5,N,Xyris jupicai,55,0.13487603305785134
fixed_ev_m0_5,N,Zephyranthes candida,57,0.09972299168975085
fixed_ev_m0_5,N,Zeuxine strateumatica,42,0.09070294784580502
fixed_ev_m0_5,P,Acacia ulicifolia,79,0.412754366287454
fixed_ev_m0_5,P,Aciphylla glacialis,77,0.18620340698262772
fixed_ev_m0_5,P,Actaea spicata,62,0.148283038501561
fixed_ev_m0_5,P,Aegopodium podagraria,85,0.0
fixed_ev_m0_5,P,Agrimonia pilosa,72,0.07986111111111094
fixed_ev_m0_5,P,Agrostemma githago,63,0.5588309397833208
fixed_ev_m0_5,P,Allium praecox,67,0.112274448652261
fixed_ev_m0_5,P,Allium vineale,44,0.5361570247933884
fixed_ev_m0_5,P,Amelanchier arborea,48,0.19010416666666663
fixed_ev_m0_5,P,Anemone virginiana,44,0.2675619834710743
fixed_ev_m0_5,P,Anemonoides quinquefolia,54,0.07201646090534997
fixed_ev_m0_5,P,Baptisia australis,74,0.19539810080350617
fixed_ev_m0_5,P,Barbarea orthoceras,71,0.0
fixed_ev_m0_5,P,Biscutella laevigata,70,0.15673469387755112
fixed_ev_m0_5,P,Brodiaea coronaria,60,0.06500000000000006
fixed_ev_m0_5,P,Bryonia alba,40,0.54125
fixed_ev_m0_5,P,Buddleja davidii,44,0.5619834710743802
fixed_ev_m0_5,P,Calochortus concolor,41,0.17608566329565734
fixed_ev_m0_5,P,Calycadenia multiglandulosa,63,0.0
fixed_ev_m0_5,P,Campanula giesekiana,76,0.125
fixed_ev_m0_5,P,Campanula latifolia,49,0.34818825489379424
fixed_ev_m0_5,P,Campanula scouleri,42,0.0
fixed_ev_m0_5,P,Carduus acanthoides,54,0.5727023319615913
fixed_ev_m0_5,P,Carlina vulgaris,41,0.47828673408685296
fixed_ev_m0_5,P,Centaurea solstitialis,75,0.05191111111111102
fixed_ev_m0_5,P,Chelone lyonii,43,0.4672796106003245
fixed_ev_m0_5,P,Cochlospermum vitifolium,51,0.11226451364859669
fixed_ev_m0_5,P,Conopholis alpina,55,0.0700826446280991
